ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10248273,HY435811,09/23/2015 10:30:00 PM,041XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1115,011,28,26,08B,1148697,1899688,2015,09/30/2015 03:35:37 PM,41.880679165,-87.729460332,"(41.880679165, -87.729460332)"
10248140,HY435834,09/23/2015 10:30:00 PM,032XX W 53RD ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0822,008,14,63,18,1155863,1869305,2015,09/30/2015 03:35:37 PM,41.797163204,-87.70396473,"(41.797163204, -87.70396473)"
10248282,HY436005,09/23/2015 10:30:00 PM,004XX W DIVISION ST,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1821,018,27,8,06,1173401,1908297,2015,09/30/2015 03:35:37 PM,41.903789944,-87.638493721,"(41.903789944, -87.638493721)"
10255784,HY443528,09/23/2015 10:30:00 PM,047XX S FORRESTVILLE AVE,031A,ROBBERY,ARMED: HANDGUN,APARTMENT,false,false,0223,002,3,38,03,,,2015,09/30/2015 03:35:37 PM,,,
10248395,HY435831,09/23/2015 10:30:00 PM,012XX W 97TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,2213,022,21,73,08B,1169846,1840608,2015,09/30/2015 03:35:37 PM,41.718122506,-87.653518823,"(41.718122506, -87.653518823)"
10248113,HY435818,09/23/2015 10:30:00 PM,039XX S LAKE PARK AVE,0560,ASSAULT,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,false,false,0214,002,4,36,08A,1183388,1878984,2015,09/30/2015 03:35:37 PM,41.823125769,-87.602725951,"(41.823125769, -87.602725951)"
10249320,HY436757,09/23/2015 10:30:00 PM,023XX N OAK PARK AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,2512,025,36,18,26,1130692,1914937,2015,09/30/2015 03:35:37 PM,41.922853085,-87.795223066,"(41.922853085, -87.795223066)"
10248098,HY435822,09/23/2015 10:30:00 PM,071XX S WENTWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),true,false,0731,007,6,69,18,1176196,1857626,2015,09/30/2015 03:35:37 PM,41.764682081,-87.629751634,"(41.764682081, -87.629751634)"
10248108,HY435826,09/23/2015 10:30:00 PM,001XX W ELM ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,true,false,1824,018,43,8,18,1174651,1907980,2015,09/30/2015 03:35:37 PM,41.902892206,-87.633911713,"(41.902892206, -87.633911713)"
10251590,HY439234,09/23/2015 10:30:00 PM,001XX W WENDELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1824,018,42,8,07,1174592,1907409,2015,09/30/2015 03:35:37 PM,41.901326672,-87.634145523,"(41.901326672, -87.634145523)"
10248180,HY435856,09/23/2015 10:25:00 PM,003XX E 95TH ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0633,006,6,49,18,1180007,1842051,2015,09/30/2015 03:35:37 PM,41.721856085,-87.616259088,"(41.721856085, -87.616259088)"
10248231,HY435849,09/23/2015 10:25:00 PM,005XX S KEDZIE AVE,0810,THEFT,OVER $500,CTA TRAIN,false,false,1134,011,24,27,06,1155119,1897494,2015,09/30/2015 03:35:37 PM,41.874532185,-87.705938056,"(41.874532185, -87.705938056)"
10248121,HY435828,09/23/2015 10:25:00 PM,068XX S JEFFERY BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0331,003,5,43,18,1190724,1859978,2015,09/30/2015 03:35:37 PM,41.770797725,-87.576427433,"(41.770797725, -87.576427433)"
